bundle_id,bundle_name,component_product_id,quantity,role,notes
AA-BND-GEN-STARTER-STD-043,Starter Bundle,AA-PRM-GEN-IDEATION-BASE-001,1,core,Foundational prompt pack
AA-BND-GEN-STARTER-STD-043,Starter Bundle,AA-UTL-GEN-MEMORYTEMPLATES-CORE-034,1,core,Memory templates
AA-BND-GEN-STARTER-STD-043,Starter Bundle,AA-DOC-GEN-AGENTCOOKBOOK-CORE-039,1,core,Cookbook guide
AA-BND-GEN-STARTER-STD-043,Starter Bundle,AA-DOC-GEN-COMPATGUIDE-CORE-040,1,add_on,Compatibility reference
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-PRM-GEN-SYSTEMCHAIN-PRO-002,1,core,System chain prompts
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-PRM-GEN-AGENTHANDOFF-CHAIN-008,1,core,Handoff prompts
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-SKL-GEN-TOOLROUTER-CORE-013,1,core,Routing skill
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-SKL-GEN-IOVALIDATE-CORE-014,1,core,Validation skill
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-SKL-GEN-ERRORRETRY-CORE-015,1,core,Resilience skill
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-UTL-GEN-JSONSCHEMAPACK-CORE-032,1,core,Schema utilities
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-UTL-GEN-GUARDRAILSYAML-CORE-033,1,core,Guardrails utilities
AA-BND-GEN-BUILDERKIT-PRO-044,Agent Builder Kit,AA-AGT-GEN-WORKFLOWORCH-PRO-027,1,add_on,Orchestration agent
AA-BND-MKT-VERTICAL-PRO-045,Marketing Vertical Pack,AA-PRM-MKT-CAMPAIGN-SUITE-003,1,core,Campaign prompts
AA-BND-MKT-VERTICAL-PRO-045,Marketing Vertical Pack,AA-PRM-MKT-COPYTEST-PACK-004,1,core,Copy testing prompts
