product_id,slug,name,short_desc,long_desc,category,subcategory,tags_keywords,format,file_count,included_files,size_estimate,version,changelog,release_date,compatibility,dependencies,license_type,seats,redistribution_policy,price_usd,compare_at_price,cost_basis,discount_eligibility,bundle_id,bundle_role,upsell_targets,cross_sell_targets,status,last_updated,owner,support_level,support_docs_link,demo_link,sample_available,sample_link,primary_keyword,secondary_keywords,intent,lead_magnet,email_capture_required,landing_page_type,execution_mode,market_type,risk_level,disclosure_required
AA-PRM-GEN-IDEATION-BASE-001,prompt-ideation-base,Ideation Prompt Pack,Fast ideation prompts for agent tasks,Prompt pack for structured brainstorming and task framing,prompt,prompt_pack,generalist;ideation;prompt,md,12,prompts.md;templates.md,1.2MB,1.0.0,/changelog/AA-PRM-GEN-IDEATION-BASE-001,2026-02-22,openai;anthropic;cursor,none,commercial,3,no_redistribution,19,29,2,all,AA-BND-GEN-STARTER-STD-043,core,AA-SKL-GEN-TOOLROUTER-CORE-013,AA-UTL-GEN-MEMORYTEMPLATES-CORE-034,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-ideation-base,https://agentassets.io/demo/prompt-ideation-base,Y,https://agentassets.io/sample/prompt-ideation-base,agent prompt pack,ai prompts;workflow prompts,TOFU,Y,Y,library,none,none,low,N
AA-PRM-GEN-SYSTEMCHAIN-PRO-002,prompt-system-chain,System Chain Prompt Suite,Multi-role chain prompts for workflows,Prompt suite with planner executor and critic patterns,prompt,prompt_suite,generalist;chain;system prompts,md,18,system_chain.md;handoff_templates.md,1.8MB,1.0.0,/changelog/AA-PRM-GEN-SYSTEMCHAIN-PRO-002,2026-02-22,openai;anthropic;langchain,none,commercial,3,no_redistribution,29,39,3,all,AA-BND-GEN-BUILDERKIT-PRO-044,core,AA-SKL-GEN-IOVALIDATE-CORE-014,AA-UTL-GEN-JSONSCHEMAPACK-CORE-032,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-system-chain,https://agentassets.io/demo/prompt-system-chain,N,,system prompt suite,prompt chains;multi role prompts,MOFU,N,N,product,none,none,low,N
AA-PRM-MKT-CAMPAIGN-SUITE-003,prompt-marketing-campaign-suite,Marketing Campaign Prompt Suite,Campaign planning prompts for teams,Prompts for campaign ideation calendar and copy scaffolds,prompt,prompt_suite,marketing;campaign;prompts,md,16,campaign_prompts.md;calendar_templates.md,1.6MB,1.0.0,/changelog/AA-PRM-MKT-CAMPAIGN-SUITE-003,2026-02-22,openai;anthropic;cursor,none,commercial,5,no_redistribution,29,49,4,all,AA-BND-MKT-VERTICAL-PRO-045,core,AA-SKL-MKT-CONTENTPIPE-PRO-016,AA-DOC-MKT-PLAYBOOK-CORE-041,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-marketing-campaign-suite,https://agentassets.io/demo/prompt-marketing-campaign-suite,Y,https://agentassets.io/sample/prompt-marketing-campaign-suite,marketing prompt suite,campaign prompts;content calendar prompt,MOFU,Y,Y,library,none,none,low,N
AA-PRM-MKT-COPYTEST-PACK-004,prompt-copy-test-pack,Copy Testing Prompt Pack,Prompt pack for message and offer testing,Prompts to generate and score copy variants for experiments,prompt,prompt_pack,marketing;copy testing;prompts,md,11,copytest_prompts.md;scorecards.md,1.0MB,1.0.0,/changelog/AA-PRM-MKT-COPYTEST-PACK-004,2026-02-22,openai;anthropic,none,commercial,5,no_redistribution,19,29,2,all,AA-BND-MKT-VERTICAL-PRO-045,add_on,AA-SKL-MKT-BRIEFSCORING-PRO-017,AA-PRM-MKT-SEOCLUSTER-SUITE-005,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-copy-test-pack,https://agentassets.io/demo/prompt-copy-test-pack,Y,https://agentassets.io/sample/prompt-copy-test-pack,copy testing prompts,offer testing prompts;ad copy prompts,TOFU,Y,Y,library,none,none,low,N
AA-PRM-MKT-SEOCLUSTER-SUITE-005,prompt-seo-cluster-suite,SEO Cluster Prompt Suite,SEO planning prompts with cluster maps,Prompts for keyword clusters outlines and intent mapping,prompt,prompt_suite,marketing;seo;prompts,md,14,seo_cluster_prompts.md;intent_maps.md,1.4MB,1.0.0,/changelog/AA-PRM-MKT-SEOCLUSTER-SUITE-005,2026-02-22,openai;anthropic;langchain,none,commercial,5,no_redistribution,29,49,4,all,AA-BND-MKT-VERTICAL-PRO-045,core,AA-AGT-MKT-SEOAUTOPLAN-PRO-025,AA-DOC-MKT-PLAYBOOK-CORE-041,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-seo-cluster-suite,https://agentassets.io/demo/prompt-seo-cluster-suite,N,,seo prompt suite,seo prompts;keyword cluster prompts,MOFU,N,N,product,none,none,low,N
AA-PRM-SUP-TICKETTRIAGE-PACK-006,prompt-ticket-triage-pack,Ticket Triage Prompt Pack,Support ticket routing prompts,Prompt templates for triage prioritization and category routing,prompt,prompt_pack,support ops;ticket triage;prompts,md,12,ticket_triage_prompts.md;routing_rules.md,1.1MB,1.0.0,/changelog/AA-PRM-SUP-TICKETTRIAGE-PACK-006,2026-02-22,openai;anthropic;cursor,none,commercial,5,no_redistribution,19,29,2,all,AA-BND-SUP-VERTICAL-PRO-046,core,AA-SKL-SUP-SLAAUTOMATION-PRO-018,AA-DOC-SUP-PLAYBOOK-CORE-042,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-ticket-triage-pack,https://agentassets.io/demo/prompt-ticket-triage-pack,Y,https://agentassets.io/sample/prompt-ticket-triage-pack,ticket triage prompts,support prompt pack;helpdesk prompts,MOFU,Y,Y,library,none,none,low,N
AA-PRM-SUP-KBWRITE-PACK-007,prompt-kb-write-pack,Knowledge Base Writing Prompts,Prompts for support article drafting,Prompt templates for article generation and update workflows,prompt,prompt_pack,support ops;knowledge base;prompts,md,10,kb_write_prompts.md;update_templates.md,0.9MB,1.0.0,/changelog/AA-PRM-SUP-KBWRITE-PACK-007,2026-02-22,openai;anthropic,none,commercial,5,no_redistribution,19,29,2,all,AA-BND-SUP-VERTICAL-PRO-046,add_on,AA-SKL-SUP-ESCALATIONFLOW-PRO-019,AA-PRM-SUP-TICKETTRIAGE-PACK-006,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-kb-write-pack,https://agentassets.io/demo/prompt-kb-write-pack,Y,https://agentassets.io/sample/prompt-kb-write-pack,knowledge base prompts,help center prompts;support docs prompts,TOFU,Y,Y,library,none,none,low,N
AA-PRM-GEN-AGENTHANDOFF-CHAIN-008,prompt-agent-handoff-chain,Agent Handoff Prompt Chain,Prompt chain for multi-agent handoffs,Structured handoff prompts with state and guardrails,prompt,prompt_chain,generalist;handoff;prompt chain,md,15,handoff_chain.md;state_templates.md,1.5MB,1.0.0,/changelog/AA-PRM-GEN-AGENTHANDOFF-CHAIN-008,2026-02-22,openai;anthropic;langchain,none,commercial,3,no_redistribution,29,39,3,all,AA-BND-GEN-BUILDERKIT-PRO-044,core,AA-SKL-GEN-ERRORRETRY-CORE-015,AA-UTL-GEN-GUARDRAILSYAML-CORE-033,draft,2026-02-22T12:00:00Z,catalog-team,email,https://agentassets.io/docs/prompt-agent-handoff-chain,https://agentassets.io/demo/prompt-agent-handoff-chain,N,,agent handoff prompts,multi agent prompt chain;handoff templates,MOFU,N,N,product,none,none,med,N
AA-PRM-TRD-MARKETTHESIS-PRO-009,prompt-trading-market-thesis,Market Thesis Prompt Pack,Prompts for market hypothesis building,Research prompts for events thesis probability and scenario trees,prompt,prompt_pack,trading;prediction market;research prompts,md,14,market_thesis_prompts.md;scenario_tree.md,1.6MB,1.0.0,/changelog/AA-PRM-TRD-MARKETTHESIS-PRO-009,2026-02-22,openai;anthropic;cursor,news_api;market_data_api,commercial,5,no_redistribution,29,49,5,all,AA-BND-TRD-PREDICTION-STD-047,core,AA-SKL-TRD-DATANORMALIZE-PRO-020,AA-UTL-TRD-MARKETSCHEMAS-PRO-037,draft,2026-02-22T12:00:00Z,catalog-team,priority,https://agentassets.io/docs/prompt-trading-market-thesis,https://agentassets.io/demo/prompt-trading-market-thesis,Y,https://agentassets.io/sample/prompt-trading-market-thesis,prediction market prompts,event trading prompts;market thesis prompts,TOFU,Y,Y,library,research,prediction,med,N
AA-PRM-TRD-EVENTSIGNAL-PRO-010,prompt-trading-event-signal,Event Driven Signal Prompt Suite,Prompts for event based signal extraction,Prompt suite for extracting signals from news and market reaction,prompt,prompt_suite,trading;signal;event driven prompts,md,16,event_signal_prompts.md;signal_scorecards.md,1.7MB,1.0.0,/changelog/AA-PRM-TRD-EVENTSIGNAL-PRO-010,2026-02-22,openai;anthropic;langchain,news_api;market_data_api,commercial,5,no_redistribution,39,59,6,all,AA-BND-TRD-SYSTEMS-PRO-048,core,AA-SKL-TRD-STRATEGYIO-PRO-021,AA-AGT-TRD-SIGNALENGINE-PRO-028,draft,2026-02-22T12:00:00Z,catalog-team,priority,https://agentassets.io/docs/prompt-trading-event-signal,https://agentassets.io/demo/prompt-trading-event-signal,N,,event signal prompts,signal prompt suite;market event prompts,MOFU,N,N,product,research,hybrid,med,N
